,N (kg/ha),P (kg/ha),K (kg/ha),Temperature (°C),Humidity (%),pH,Rainfall (mm),label,Governorate,Irrigation,Fertilizer Plant,Flood,Sprinkler,Drip,Planting Season,Growing Season,Harvest Season,Area (ha),Fertilizer (kg),Pesticide (kg),Yield (t/ha),Year,Month,Date,Max Temperature (°C),Min Temperature (°C),Precipitation (mm),Wind Speed (m/s),District
0,3,68,16,18.31910448,34.69776639,4.964887857,107.4721605,pigeonpeas,Sfax,Drip,DAP,bad,medium,best,spring,summer,autumn,48.0,7584.0,15.84,1.7333333333333334,2021,10,2021-10-24,26.2,18.0,0.9,34.4,District IV (Sud-Ouest)
1,39,64,53,23.012401800000006,91.07355541,6.598860305,208.3357976,papaya,Kasserine,Sprinkler,Fourteen-Thirty Five-Fourteen,bad,best,bad,spring,summer,autumn,778.0,122924.0,256.74,51.36363636363636,2022,12,2022-12-09,20.4,13.4,0.2,24.4,District III (Centre/Sahel)
2,21,63,22,25.09737391,67.72837887,6.859409487000001,74.61649888,blackgram,Sidi Bouzid,Drip,DAP,bad,medium,best,summer,summer,autumn,43.0,6794.0,14.19,0.696969696969697,2024,2,2024-02-21,15.9,8.8,0.4,26.8,District IV (Sud-Ouest)
3,110,7,45,26.63838589,84.69546874,6.189213927000001,48.32428609,watermelon,Jendouba,Sprinkler,Urea,bad,best,bad,spring,summer,summer,3668.0,579544.0,1210.44,56.97766990291262,2020,3,2020-03-20,23.0,7.7,0.0,19.8,District I (Nord-Ouest)
4,112,87,48,27.19711623,77.39706290000002,6.200111067999999,99.46950465,banana,Jendouba,Sprinkler,DAP,bad,best,bad,spring,summer,autumn,3376.0,517372.0,1181.6,55.18416667,2021,10,2021-10-26,20.3,14.1,1.4,19.5,District I (Nord-Ouest)
5,9,16,36,23.77989026,92.93386903,5.893332377999999,106.977723,pomegranate,Sfax,Drip,Ten-Twenty Six-Twenty Six,bad,medium,best,spring,summer,autumn,1885.0,297830.0,622.0500000000001,13.980582524271846,2024,4,2024-04-11,19.5,13.2,1.1,23.0,District IV (Sud-Ouest)
6,25,23,29,27.51,42.34,5.91,436.2,horse-gram,Sfax,Drip,Ten-Twenty Six-Twenty Six,bad,medium,best,autumn,winter,spring,64411.0,10171141.01,21255.63,0.580952381,2023,10,2023-10-01,28.9,19.8,0.0,20.7,District IV (Sud-Ouest)
7,114,94,53,26.33544853,76.8532006,6.190757458999999,118.6858263,banana,Jendouba,Sprinkler,DAP,bad,best,bad,spring,summer,autumn,7240.0,1109530.0,2534.0,10.72545455,2022,6,2022-06-18,35.6,20.3,0.0,18.9,District I (Nord-Ouest)
8,23,57,19,32.83963757,67.99803573,7.251000789,73.40452716,blackgram,Sidi Bouzid,Drip,DAP,bad,medium,best,summer,summer,autumn,24.0,3792.0,7.92,0.8636363636363636,2022,3,2022-03-11,20.4,6.1,0.0,16.8,District IV (Sud-Ouest)
9,102,71,48,28.65456263,79.28693687,5.695267822000001,102.4633775,banana,Jendouba,Sprinkler,Twenty Eight-Twenty Eight,bad,best,bad,spring,summer,autumn,53082.0,8357230.08,20171.16,16.84185185,2022,12,2022-12-07,19.0,9.8,0.1,12.6,District I (Nord-Ouest)
